,ad_id,ad_url,0,text
370,CR372979942146703360,https://transparencyreport.google.com/political-ads/library/advertiser/AR285579453617143808/creative/CR372979942146703360,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR285579453617143808&creative_id=CR372979942146703360&hl=en,"""Donate now to help Congressman Chip Roy keep America Safe."",""Fighting to Stop the Chinese Communist Party from buying property in America"
371,CR168843238944276480,https://transparencyreport.google.com/political-ads/library/advertiser/AR512889223368409088/creative/CR168843238944276480,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR512889223368409088&creative_id=CR168843238944276480&hl=en,"""In Congress, Brian will always put America first and fight for our conservative values."",""Recruited by the Trump Administration, Brian will continue the Trump movement in Congress."
372,CR448677057111523328,https://transparencyreport.google.com/political-ads/library/advertiser/AR267112502993616896/creative/CR448677057111523328,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR267112502993616896&creative_id=CR448677057111523328&hl=en,"""President Biden's plan at the border is a new, fair, and orderly approach."",""Investing in infrastructure and tech to ensure our border - and communities - are safe."
373,CR67869038851653632,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR67869038851653632,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR67869038851653632&hl=en,"""Get Rid Of Gavin Once And For All. Caitlyn Has A Plan To Save California. Donate Today!"",""It's Official! Newsom Will Be Recalled. Caitlyn Will Put People Over Politics. Chip In."
374,CR231000074371465216,https://transparencyreport.google.com/political-ads/library/advertiser/AR252503223275880448/creative/CR231000074371465216,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR252503223275880448&creative_id=CR231000074371465216&hl=en,"""The Austin Chronicle officially backs Jay Kleberg for Texas Land Commissioner"",""Jay Kleber will take a proactive role in conserving a resilient landscape Learn More"
375,CR128829262030438400,https://transparencyreport.google.com/political-ads/library/advertiser/AR394105133929070592/creative/CR128829262030438400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR394105133929070592&creative_id=CR128829262030438400&hl=en,"""Lifelong Republican. GOP Precinct Chair. District Director to State Reps."",""Vote for Trump-Endorsed Susan Wright for Congress"
376,CR241344279765581824,https://transparencyreport.google.com/political-ads/library/advertiser/AR99181652541964288/creative/CR241344279765581824,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR99181652541964288&creative_id=CR241344279765581824&hl=en,"""Matt has a Proven Record on Immigration. He will defend the rule of law as Tarrant Co DA."",""As a state rep., he led the first committee hearing responding to Biden's border crisis."
377,CR526759906150187008,https://transparencyreport.google.com/political-ads/library/advertiser/AR252503223275880448/creative/CR526759906150187008,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR252503223275880448&creative_id=CR526759906150187008&hl=en,"""Harris County Commissioner Rodney Ellis officially endorses Jay Kleberg for Texas"",""As Land Commissioner, Jay Kleberg will tackle climate change. Find out more."
378,CR435801638511312896,https://transparencyreport.google.com/political-ads/library/advertiser/AR71361912415191040/creative/CR435801638511312896,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR71361912415191040&creative_id=CR435801638511312896&hl=en,"""I Want To Hear From You"",""Follow Our Socials. Share Your Thoughts. Join Relevant Discussions. Join the Movement."
379,CR49589451881447424,https://transparencyreport.google.com/political-ads/library/advertiser/AR252503223275880448/creative/CR49589451881447424,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR252503223275880448&creative_id=CR49589451881447424&hl=en,"""The Dallas Morning News officially backs Jay Kleberg for Texas Land Commissioner"",""As Land Commissioner, Jay Kleberg will tackle climate change. Find out more."
380,CR191270252493930496,https://transparencyreport.google.com/political-ads/library/advertiser/AR71361912415191040/creative/CR191270252493930496,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR71361912415191040&creative_id=CR191270252493930496&hl=en,"""Solve Immigration Crisis. Stop Voter Fraud. Slash Homeowners' Taxes. Unburden Texans."",""Support Republican Candidate for Texas Governor Don Huffines. Donate to Show Support."
381,CR238939579116158976,https://transparencyreport.google.com/political-ads/library/advertiser/AR129586550664069120/creative/CR238939579116158976,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR129586550664069120&creative_id=CR238939579116158976&hl=en,"""Susan Wright is ready to serve the 6th Congressional District of Texas."",""Susan understands the shared Conservative beliefs of the 6th district."
382,CR271534395163148288,https://transparencyreport.google.com/political-ads/library/advertiser/AR551474384921952256/creative/CR271534395163148288,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR551474384921952256&creative_id=CR271534395163148288&hl=en,"""Mike Collier is running for Texas Lieutenant Governor against Dan Patrick."",""Donate to help support his campaign, flip Texas blue, and bring new leadership to Texas."
383,CR205611457532919808,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR205611457532919808,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR205611457532919808&hl=en,"""California Is Worth Fighting For! Caitlyn Will Put People Before Politics."",""Caitlyn Jenner Is In! Donate To Support Her Campaign For Governor."
384,CR118067310937243648,https://transparencyreport.google.com/political-ads/library/advertiser/AR437541409503838208/creative/CR118067310937243648,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR437541409503838208&creative_id=CR118067310937243648&hl=en,"""Beth Van Duyne is a fighter in Congress against Nancy Pelosi and the Radical Left."
385,CR46623038229184512,https://transparencyreport.google.com/political-ads/library/advertiser/AR24894764318982144/creative/CR46623038229184512,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR24894764318982144&creative_id=CR46623038229184512&hl=en,"""Inclusion, innovation, and collaboration"",""Follow on social media for updates"
386,CR249849758120673280,https://transparencyreport.google.com/political-ads/library/advertiser/AR465982957815857152/creative/CR249849758120673280,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR465982957815857152&creative_id=CR249849758120673280&hl=en,"""Standing for quality public schools, affordable health care, and good jobs for all Texans"",""Lydia will fight for what's right and work across the aisle to get things done"
387,CR371017588769030144,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR371017588769030144,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR371017588769030144&hl=en,"""Californians Deserve Better From Their Governor. Caitlyn Will Fix It. Donate Now."",""Gavin Newsom Orders Us To Stay Home While Dining With Lobbyists. Donate Now To Stop Him."
388,CR341760477707108352,https://transparencyreport.google.com/political-ads/library/advertiser/AR99181652541964288/creative/CR341760477707108352,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR99181652541964288&creative_id=CR341760477707108352&hl=en,"""Matt supported laws that called for audits of the 2020 election results."",""As Tarrant County DA, Matt Krause will prosecute voter fraud."
389,CR151766792572764160,https://transparencyreport.google.com/political-ads/library/advertiser/AR152562838991273984/creative/CR151766792572764160,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR152562838991273984&creative_id=CR151766792572764160&hl=en,"""Leadership in Texas has failed, and Texans deserve better."",""Together, we can get Texas back on the right track. Join us by making a donation today."
390,CR151510881241399296,https://transparencyreport.google.com/political-ads/library/advertiser/AR363743013681233920/creative/CR151510881241399296,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR363743013681233920&creative_id=CR151510881241399296&hl=en,"""Combat veteran and conservative outsider running for Congress in Texas's 28th District."",""Click here to join the fight to take back our country!"
391,CR85646767483256832,https://transparencyreport.google.com/political-ads/library/advertiser/AR71361912415191040/creative/CR85646767483256832,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR71361912415191040&creative_id=CR85646767483256832&hl=en,"""Greg Abbott Failed Texas. Secure Border? Decreased Property Tax? Ended Voter Fraud? No!"",""Texas Deserves Leadership. No Excuses. Support Change for Texas. Chip in for Don Huffines"
392,CR118504435528761344,https://transparencyreport.google.com/political-ads/library/advertiser/AR199061254449397760/creative/CR118504435528761344,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR199061254449397760&creative_id=CR118504435528761344&hl=en,"""It's time to fight back against a system that profits when the rest of us suffer."",""Help Captain Sam Brown restore power to the American people by supporting him for Senate."
393,CR510978134720380928,https://transparencyreport.google.com/political-ads/library/advertiser/AR532605081762136064/creative/CR510978134720380928,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR532605081762136064&creative_id=CR510978134720380928&hl=en,"""Senator John Cornyn Is Helping His Senate GOP Colleagues Take Back The Senate In 2022."",""It's Never Too Early To Join The Fight. Chip In $20 Now. Help John Cornyn Save The Senate."
394,CR20125838791933952,https://transparencyreport.google.com/political-ads/library/advertiser/AR244316775091535872/creative/CR20125838791933952,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR244316775091535872&creative_id=CR20125838791933952&hl=en,"""Don’t miss out! Get 9X matched in honor of Trump's 1st Texas rally in 2022"
395,CR464659420693921792,https://transparencyreport.google.com/political-ads/library/advertiser/AR425815873907851264/creative/CR464659420693921792,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR425815873907851264&creative_id=CR464659420693921792&hl=en,"""George P. Bush has worked to eliminate wasteful spending and protect our tax dollars."",""He will continue fighting for a balanced budget and increased government accountability."
396,CR153034873076973568,https://transparencyreport.google.com/political-ads/library/advertiser/AR194446432348930048/creative/CR153034873076973568,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR194446432348930048&creative_id=CR153034873076973568&hl=en,"""Join the team today and add your name to the list of supporters fighting to save America."",""Calling on Republicans: Senator Cruz needs your help. Add your name and act now."
397,CR289019035226472448,https://transparencyreport.google.com/political-ads/library/advertiser/AR461110987433443328/creative/CR289019035226472448,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461110987433443328&creative_id=CR289019035226472448&hl=en,"""Contribute to keep Texas’ 32nd district blue in 2022 and hold the House majority."",""Republicans want to suppress Texas voters. We can’t let them. Chip in today!"
398,CR61560728326242304,https://transparencyreport.google.com/political-ads/library/advertiser/AR199061254449397760/creative/CR61560728326242304,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR199061254449397760&creative_id=CR61560728326242304&hl=en,"""Captain Sam Brown will put duty to country first \u0026 will fight to protect the Constitution."",""Please support Captain Sam Brown for Senate by donating $10 or $20 today!"
399,CR79646801249959936,https://transparencyreport.google.com/political-ads/library/advertiser/AR551474384921952256/creative/CR79646801249959936,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR551474384921952256&creative_id=CR79646801249959936&hl=en,"""Mike will defend voting rights, protect the right to choose, and fix the damn grid"
400,CR62283313624121344,https://transparencyreport.google.com/political-ads/library/advertiser/AR75512637529522176/creative/CR62283313624121344,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR75512637529522176&creative_id=CR62283313624121344&hl=en,"""As your senator, I describe my job in three words: listen, learn, lead."",""True representative government begins with listening, listening to your experiences, obser"
401,CR568568835796369408,https://transparencyreport.google.com/political-ads/library/advertiser/AR551474384921952256/creative/CR568568835796369408,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR551474384921952256&creative_id=CR568568835796369408&hl=en,"""Vote for Mike Collier in the Democratic primary for Texas Lieutenant Governor"",""Mike will defend voting rights, protect the right to choose, and fix the damn grid"
402,CR385958165084110848,https://transparencyreport.google.com/political-ads/library/advertiser/AR570119765666824192/creative/CR385958165084110848,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR570119765666824192&creative_id=CR385958165084110848&hl=en,"""Working Together, We Can Create A Winning Campaign And A Winning Future For Texas"",""Simply put, it’s time for justice."
403,CR496208601182896128,https://transparencyreport.google.com/political-ads/library/advertiser/AR71361912415191040/creative/CR496208601182896128,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR71361912415191040&creative_id=CR496208601182896128&hl=en,"""Texas"
404,CR405010708728643584,https://transparencyreport.google.com/political-ads/library/advertiser/AR71361912415191040/creative/CR405010708728643584,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR71361912415191040&creative_id=CR405010708728643584&hl=en,"""Texas"
405,CR478653454936440832,https://transparencyreport.google.com/political-ads/library/advertiser/AR327761839259648000/creative/CR478653454936440832,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR327761839259648000&creative_id=CR478653454936440832&hl=en,"""Millions in critical funding for schools and community health centers."",""Learn more about vital resources coming to South Texas."
406,CR36043743505154048,https://transparencyreport.google.com/political-ads/library/advertiser/AR34047030389112832/creative/CR36043743505154048,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR34047030389112832&creative_id=CR36043743505154048&hl=en,"""Texas Attorney General is facing a federal investigation for bribery and corruption"",""Louie Gohmert will restore honesty and integrity to the office of Attorney General."
407,CR96368517682561024,https://transparencyreport.google.com/political-ads/library/advertiser/AR341138806960816128/creative/CR96368517682561024,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR341138806960816128&creative_id=CR96368517682561024&hl=en,"""Send an email now!"",""Tell him to stand up for American innovation or we'll lose our competitive edge to China."
408,CR247843974033702912,https://transparencyreport.google.com/political-ads/library/advertiser/AR327761839259648000/creative/CR247843974033702912,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR327761839259648000&creative_id=CR247843974033702912&hl=en,"""Do you have questions about the IRS, VA, financial aid, or Medicare?"",""My office is here to help! Visit my website to contact us and for other resources."
409,CR108875050131652608,https://transparencyreport.google.com/political-ads/library/advertiser/AR461110987433443328/creative/CR108875050131652608,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR461110987433443328&creative_id=CR108875050131652608&hl=en,"""Contribute to keep Texas’ 32nd district blue in 2022 and hold the House majority."",""Colin represents one of the most competitive districts in the nation. Chip in, let's win!"
410,CR18197020518907904,https://transparencyreport.google.com/political-ads/library/advertiser/AR527807465853550592/creative/CR18197020518907904,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR527807465853550592&creative_id=CR18197020518907904&hl=en,"""Principled Conservative Leadership for Texas"",""Learn More About Texas Lt. Gov. Dan Patrick"
